key,0,1
#,,
int32,str,str
0,"TEXT_KINGZB106_05046_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
沃拉的迴響的扎瓦庫正在考慮籌備材料的事。"
1,"TEXT_KINGZB106_05046_SEQ_01",""
2,"TEXT_KINGZB106_05046_SEQ_02",""
3,"TEXT_KINGZB106_05046_SEQ_03",""
4,"TEXT_KINGZB106_05046_SEQ_04",""
5,"TEXT_KINGZB106_05046_SEQ_05",""
6,"TEXT_KINGZB106_05046_SEQ_06",""
7,"TEXT_KINGZB106_05046_SEQ_07",""
8,"TEXT_KINGZB106_05046_SEQ_08",""
9,"TEXT_KINGZB106_05046_SEQ_09",""
10,"TEXT_KINGZB106_05046_SEQ_10",""
11,"TEXT_KINGZB106_05046_SEQ_11",""
12,"TEXT_KINGZB106_05046_SEQ_12",""
13,"TEXT_KINGZB106_05046_SEQ_13",""
14,"TEXT_KINGZB106_05046_SEQ_14",""
15,"TEXT_KINGZB106_05046_SEQ_15",""
16,"TEXT_KINGZB106_05046_SEQ_16",""
17,"TEXT_KINGZB106_05046_SEQ_17",""
18,"TEXT_KINGZB106_05046_SEQ_18",""
19,"TEXT_KINGZB106_05046_SEQ_19",""
20,"TEXT_KINGZB106_05046_SEQ_20",""
21,"TEXT_KINGZB106_05046_SEQ_21",""
22,"TEXT_KINGZB106_05046_SEQ_22",""
23,"TEXT_KINGZB106_05046_SEQ_23",""
24,"TEXT_KINGZB106_05046_TODO_00","從<Sheet(BNpcName,13098,0)/>身上獲取<Sheet(EventItem,2003617,0)/>"
25,"TEXT_KINGZB106_05046_TODO_01","將<Sheet(EventItem,2003617,0)/>交給扎瓦庫"
26,"TEXT_KINGZB106_05046_TODO_02",""
27,"TEXT_KINGZB106_05046_TODO_03",""
28,"TEXT_KINGZB106_05046_TODO_04",""
29,"TEXT_KINGZB106_05046_TODO_05",""
30,"TEXT_KINGZB106_05046_TODO_06",""
31,"TEXT_KINGZB106_05046_TODO_07",""
32,"TEXT_KINGZB106_05046_TODO_08",""
33,"TEXT_KINGZB106_05046_TODO_09",""
34,"TEXT_KINGZB106_05046_TODO_10",""
35,"TEXT_KINGZB106_05046_TODO_11",""
36,"TEXT_KINGZB106_05046_TODO_12",""
37,"TEXT_KINGZB106_05046_TODO_13",""
38,"TEXT_KINGZB106_05046_TODO_14",""
39,"TEXT_KINGZB106_05046_TODO_15",""
40,"TEXT_KINGZB106_05046_TODO_16",""
41,"TEXT_KINGZB106_05046_TODO_17",""
42,"TEXT_KINGZB106_05046_TODO_18",""
43,"TEXT_KINGZB106_05046_TODO_19",""
44,"TEXT_KINGZB106_05046_TODO_20",""
45,"TEXT_KINGZB106_05046_TODO_21",""
46,"TEXT_KINGZB106_05046_TODO_22",""
47,"TEXT_KINGZB106_05046_TODO_23",""
48,"TEXT_KINGZB106_05046_ZARWARKUR_000_000","那邊那位看起來挺強的旅行者，
你對我們傳統的儲備糧感興趣嗎？"
49,"TEXT_KINGZB106_05046_ZARWARKUR_000_001","那如果你能一起參與製作的話，我就把我們傳統食品的事告訴你。
現在儲備有些不足，所以我想請你幫個忙。"
50,"TEXT_KINGZB106_05046_ZARWARKUR_000_002","材料需要用到<Sheet(EventItem,2003617,0)/>。
<Sheet(BNpcName,13098,0)/>棲息在北邊一帶，狩獵工作就交給你了。"
51,"TEXT_KINGZB106_05046_ZARWARKUR_000_005","儲備糧的材料需要用到<Sheet(EventItem,2003617,0)/>。
<Sheet(BNpcName,13098,0)/>棲息在北邊一帶，狩獵工作就交給你了。"
52,"TEXT_KINGZB106_05046_ZARWARKUR_000_010","你拿到<Sheet(EventItem,2003617,0)/>了嗎？"
53,"TEXT_KINGZB106_05046_ZARWARKUR_000_011","哦！這新鮮又緊實的生肉！
相信只要塗上足量的鹽分，一定能做出不錯的肉乾。"
54,"TEXT_KINGZB106_05046_ZARWARKUR_000_012","想要製作出美味的肉乾，
需要寒冷乾燥的空氣和陽光。
所以奧闊帕恰山是最合適不過的。"
55,"TEXT_KINGZB106_05046_ZARWARKUR_000_013","聯王古魯加加一行人也曾品嚐過這一美食，
其中又數武王最為中意，很快就吃了個精光。
理王還特意提醒他「別把儲備糧吃光了！」……呵呵。"
56,"TEXT_KINGZB106_05046_ZARWARKUR_000_014","哎呀，一不小心就聊起了這些往事。
總之這種肉嚼勁十足，味道鮮美，
相信一定可以做出很不錯的肉乾。"
57,"TEXT_KINGZB106_05046_ZARWARKUR_000_015","這次儲備糧能得到補充真是太好了。
在等待期間我也做了一些飯菜，
不介意的話你就當作謝禮收下吧。"
58,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_000",""
59,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_001",""
60,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_002",""
61,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_005",""
62,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_010",""
63,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_011",""
64,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_012",""
65,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_013",""
66,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_014",""
67,"TEXT_KINGZB106_05046_COOKINGYOKFUY05046_000_015",""
