key,0,1
#,,
int32,str,str
0,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_000","星芒祭快樂！
值此佳節，星光分外璀璨，
你過得開心嗎？"
1,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_001","我是冒險者行會的星芒祭執行委員長。
星芒祭是給孩子們贈送來自星星的禮物的節日，
我正在為慶祝節日做準備。"
2,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_002","可是發生了一件麻煩的事……
我從庫爾札斯運來雪，為孩子們製作了雪人，
可那個雪人突然不見了。"
3,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_003","據目擊者說，搗蛋鬼小頑童想要融化雪人，
然後雪人就逃到了城外……"
4,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_004","……看你的表情，不大相信呢。
不過，那也不是完全沒有可能。"
5,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_005","為了使雪人不易融化，
它的體內裝有冰之水晶製成的魔法結晶——「永久冰晶」。
所以它才能逃跑。"
6,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_006","這個魔法結晶和「魔像之核」一樣，
能給雪人的身體賦予短暫的生命。
總之，至少要取回「永久冰晶」……"
7,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_010","如果你在城外發現了雪人，
請從想要用火融化它的小頑童手中保護它。"
8,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_011","我猜雪人現在是由我們冒險者行會訓練過的守護樹妖保護著。"
9,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_012","樹妖會投雪球來保護雪人。
雪人則故意被雪球砸中，讓全身沾滿雪。
對付用火的小頑童時，這是個有利的戰術。"
10,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_013","如果你成功保護了雪人，回收了永久冰晶，
請把它交給星芒祭執行委員。
可以兌換禮品哦。"
11,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_020","很久以前，艾奧傑亞各國之間紛爭不斷……
那時，在戰爭中失去父母的孤兒們，
流落在伊修加爾德的街道上，數著天上的星星忍耐嚴寒。"
12,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_021","看到他們的伊修加爾德衛兵違背了軍規，
把自己的緋色外套給孤兒們穿上，招待他們進營房。"
13,"TEXT_FESXMSSHOP2013_00142_SEIBOH_000_022","這樁美談，經過時代的變遷演化為了「星芒祭」。
在這個天寒地凍的節日裡，大人們扮成衛兵，
給孩子們贈送來自星星的禮物。"
14,"TEXT_FESXMSSHOP2013_00142_Q1_000_1","想了解什麼？"
15,"TEXT_FESXMSSHOP2013_00142_A1_000_1","你在這裡是做什麼的？"
16,"TEXT_FESXMSSHOP2013_00142_A1_000_2","發現雪人後怎麼辦？"
17,"TEXT_FESXMSSHOP2013_00142_A1_000_3","什麼是「星芒祭」？"
18,"TEXT_FESXMSSHOP2013_00142_A1_000_4","取消"
19,"TEXT_FESXMSSHOP2013_00142_TALK_ACTOR","ダミー（翻訳不要）"
