key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSC002_00939_SEQ_00","阿爾菲諾想要冒險者協助自己來對付異端審問官吉耶姆。"
1,"TEXT_GAIUSC002_00939_SEQ_01","吉耶姆的行動存在可疑之處。前往他曾經去過的白雲崖前哨東門外進行調查。"
2,"TEXT_GAIUSC002_00939_SEQ_02","在<Sheet(EObj,2002170,0)/>發現了謎之屍體。對其進行調查，看看有沒有什麼線索。"
3,"TEXT_GAIUSC002_00939_SEQ_03","在屍體上發現了<Sheet(EventItem,2000733,0)/>。將其交給白雲崖前哨的阿爾菲諾。不知這是否能成為決定性的證據……"
4,"TEXT_GAIUSC002_00939_SEQ_04","異端審問官吉耶姆是別人假扮的。真正的吉耶姆好像早在到白雲崖前哨赴任前就被殺害了……"
5,"TEXT_GAIUSC002_00939_SEQ_05",""
6,"TEXT_GAIUSC002_00939_SEQ_06",""
7,"TEXT_GAIUSC002_00939_SEQ_07",""
8,"TEXT_GAIUSC002_00939_SEQ_08",""
9,"TEXT_GAIUSC002_00939_SEQ_09",""
10,"TEXT_GAIUSC002_00939_SEQ_10",""
11,"TEXT_GAIUSC002_00939_SEQ_11",""
12,"TEXT_GAIUSC002_00939_SEQ_12",""
13,"TEXT_GAIUSC002_00939_SEQ_13",""
14,"TEXT_GAIUSC002_00939_SEQ_14",""
15,"TEXT_GAIUSC002_00939_SEQ_15",""
16,"TEXT_GAIUSC002_00939_SEQ_16",""
17,"TEXT_GAIUSC002_00939_SEQ_17",""
18,"TEXT_GAIUSC002_00939_SEQ_18",""
19,"TEXT_GAIUSC002_00939_SEQ_19",""
20,"TEXT_GAIUSC002_00939_SEQ_20",""
21,"TEXT_GAIUSC002_00939_SEQ_21",""
22,"TEXT_GAIUSC002_00939_SEQ_22",""
23,"TEXT_GAIUSC002_00939_SEQ_23",""
24,"TEXT_GAIUSC002_00939_TODO_00","在白雲崖前哨尋找線索"
25,"TEXT_GAIUSC002_00939_TODO_01","調查屍體"
26,"TEXT_GAIUSC002_00939_TODO_02","將<Sheet(EventItem,2000733,0)/>交給阿爾菲諾"
27,"TEXT_GAIUSC002_00939_TODO_03",""
28,"TEXT_GAIUSC002_00939_TODO_04",""
29,"TEXT_GAIUSC002_00939_TODO_05",""
30,"TEXT_GAIUSC002_00939_TODO_06",""
31,"TEXT_GAIUSC002_00939_TODO_07",""
32,"TEXT_GAIUSC002_00939_TODO_08",""
33,"TEXT_GAIUSC002_00939_TODO_09",""
34,"TEXT_GAIUSC002_00939_TODO_10",""
35,"TEXT_GAIUSC002_00939_TODO_11",""
36,"TEXT_GAIUSC002_00939_TODO_12",""
37,"TEXT_GAIUSC002_00939_TODO_13",""
38,"TEXT_GAIUSC002_00939_TODO_14",""
39,"TEXT_GAIUSC002_00939_TODO_15",""
40,"TEXT_GAIUSC002_00939_TODO_16",""
41,"TEXT_GAIUSC002_00939_TODO_17",""
42,"TEXT_GAIUSC002_00939_TODO_18",""
43,"TEXT_GAIUSC002_00939_TODO_19",""
44,"TEXT_GAIUSC002_00939_TODO_20",""
45,"TEXT_GAIUSC002_00939_TODO_21",""
46,"TEXT_GAIUSC002_00939_TODO_22",""
47,"TEXT_GAIUSC002_00939_TODO_23",""
48,"TEXT_GAIUSC002_00939_ALPHINAUD_000_000","根據你得到的證詞，
異端審問官剛到任時就很著急地到基地後面去……
但我不覺得有什麼正事那麼急，需要無視衛兵的制止。"
49,"TEXT_GAIUSC002_00939_ALPHINAUD_000_001","並且他到任的那天晚上有大風雪……
從這個地方的氣候狀況來看，
他的行動實在是不正常。"
50,"TEXT_GAIUSC002_00939_ALPHINAUD_000_002","……異端審問官去的基地後面應該就是東門外吧。
根據我在這裡的觀察，基本沒有人去那邊，
是隱藏秘密的好地方。麻煩你去調查一下。"
51,"TEXT_GAIUSC002_00939_DUMMY_000_010","在雪堆裡發現屍體。"
52,"TEXT_GAIUSC002_00939_DUMMY_000_020","調查屍體，發現任命書。"
53,"TEXT_GAIUSC002_00939_ALPHINAUD_000_030","有找到什麼線索嗎？
我可不希望又回到起點……拜託你了。"
54,"TEXT_GAIUSC002_00939_ALPHINAUD_000_031","……原來如此，這樣可以確定了。
埋在雪中的異端審問官的屍體，
還有這個<Sheet(EventItem,2000733,0)/>……你知道這上面寫著什麼嗎？"
55,"TEXT_GAIUSC002_00939_ALPHINAUD_000_032","寫的是……異端審問官吉耶姆配屬至白雲崖前哨。
只是真貨連當1天的審問官都沒辦法做完啊。"
56,"TEXT_GAIUSC002_00939_ALPHINAUD_000_033","現在的吉耶姆是個假貨。
他把剛到任的吉耶姆叫出去後予以殺害，
並頂替了真貨……看來就是這樣了。"
57,"TEXT_GAIUSC002_00939_ALPHINAUD_000_034","嘿嘿……就算他能讓無辜之人消失，
在你的法眼前無法隱瞞真相啊。
好，讓我們來給這一切畫上句號吧，<Highlight>ObjectParameter(1)</Highlight>！"
58,"TEXT_GAIUSC002_00939_POP_MESSAGE_000","察覺到了敵人的氣息！"
59,"TEXT_GAIUSC002_00939_ACCESS_MESSAGE","打倒出現的敵人之後才能進行下一步動作。"
