key,0,1
#,,
int32,str,str
0,"TEXT_CLSCUL530_02044_SEQ_00","永遠少女亭的梅露可可有事情想要告訴冒險者。"
1,"TEXT_CLSCUL530_02044_SEQ_01","梅露可可希望冒險者報名參加金德萊蒙烹飪大賽。和俾斯麥餐廳的金德萊蒙烹飪大賽執行委員談談。"
2,"TEXT_CLSCUL530_02044_SEQ_02","和金德萊蒙烹飪大賽執行委員進行了交談，報名參加大賽。向永遠少女亭的梅露可可報告。"
3,"TEXT_CLSCUL530_02044_SEQ_03","向梅露可可報告完畢。她委託冒險者為客人製作甜品。和永遠少女亭的紅血聖女團操舵士談談。"
4,"TEXT_CLSCUL530_02044_SEQ_04","和紅血聖女團操舵士進行了交談。看樣子她是想要克服對甜食的不適。向永遠少女亭的梅露可可報告。"
5,"TEXT_CLSCUL530_02044_SEQ_05","向梅露可可報告完畢。梅露可可說要特地為她準備甜食克服她的不適。製作<Sheet(Item,12846,0)/>和<Sheet(ItemHQ,12842,0)/>，並將其交給永遠少女亭的梅露可可。"
6,"TEXT_CLSCUL530_02044_SEQ_06","將<Sheet(Item,12846,0)/>和<Sheet(ItemHQ,12842,0)/>交給了梅露可可。紅血聖女團操舵士成功克服了對甜食的不適。為了日後的大賽做準備，努力精進自己烹調師的水準吧。

※烹調師的等級達到55級以上時，可以從永遠少女亭的梅露可可那裡領取下一個烹調師任務。"
7,"TEXT_CLSCUL530_02044_SEQ_07","空"
8,"TEXT_CLSCUL530_02044_SEQ_08","空"
9,"TEXT_CLSCUL530_02044_SEQ_09","空"
10,"TEXT_CLSCUL530_02044_SEQ_10","空"
11,"TEXT_CLSCUL530_02044_SEQ_11","空"
12,"TEXT_CLSCUL530_02044_SEQ_12","空"
13,"TEXT_CLSCUL530_02044_SEQ_13","空"
14,"TEXT_CLSCUL530_02044_SEQ_14","空"
15,"TEXT_CLSCUL530_02044_SEQ_15","空"
16,"TEXT_CLSCUL530_02044_SEQ_16","空"
17,"TEXT_CLSCUL530_02044_SEQ_17","空"
18,"TEXT_CLSCUL530_02044_SEQ_18","空"
19,"TEXT_CLSCUL530_02044_SEQ_19","空"
20,"TEXT_CLSCUL530_02044_SEQ_20","空"
21,"TEXT_CLSCUL530_02044_SEQ_21","空"
22,"TEXT_CLSCUL530_02044_SEQ_22","空"
