key,0,1
#,,
int32,str,str
0,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_000","旅行者，歡迎光臨……
現在暫時沒什麼活力，請見諒……"
1,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_001","旅行者，歡迎光臨。
蘆葦如今都已經恢復了活力！
需要我給你介紹一下這片水田的情況嗎？"
2,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_002","旅行者，歡迎光臨。
托你的福，自那之後蘆葦的狀態一直保持得很不錯。
要跟你聊聊這片水田的事嗎？"
3,"TEXT_REGYOK6FIELDSOFGOLD_00905_Q1_000_000","想了解什麼？"
4,"TEXT_REGYOK6FIELDSOFGOLD_00905_A1_000_001","你是做什麼的？"
5,"TEXT_REGYOK6FIELDSOFGOLD_00905_A1_000_002","這裡是什麼地方？"
6,"TEXT_REGYOK6FIELDSOFGOLD_00905_A1_000_003","取消"
7,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_010","我想培育作為大家生活來源的蘆葦，
所以選擇了在這裡工作，但蘆葦似乎沒什麼活力啊……
感覺下次的收穫量也會很少……"
8,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_011","那個，無法享受甘甜的味道……
嗚嗚，光是想想肚子就開始咕咕叫了……"
9,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_012","培育作為大家生活來源的蘆葦就是我的工作！
雖然收穫量曾一度陷入危機，
但多虧了繼位儀式，蘆葦已經恢復了活力！"
10,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_013","能夠享受到這充滿生命力的甘甜味道！
嗚嗚，光是想想肚子就又開始叫起來了！"
11,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_020","這裡是培育蘆葦的金渦水田……
結出果實的蘆葦看起來就像金色漩渦一樣，
因此得名……"
12,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_021","如你所見，蘆葦沒什麼活力……
哎……為什麼會這樣呢？"
13,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_022","這裡是培育蘆葦的金渦水田。
結出果實的蘆葦看起來就像金色漩渦一樣，
因此得名。"
14,"TEXT_REGYOK6FIELDSOFGOLD_00905_DANUHALI_000_023","多虧了大家的幫助，
這裡的蘆葦已經恢復了活力。
真的非常感謝。"
