key,0,1
#,,
int32,str,str
0,"TEXT_MANWIL302_00682_SEQ_00","不滅隊軍官對於冒險者立志加入不滅隊感到十分高興。"
1,"TEXT_MANWIL302_00682_SEQ_01","將加入的意願傳達給了不滅隊軍官。拜訪烏爾達哈的不滅隊作戰總部，由不滅隊人事負責人辦理正式的入隊手續。"
2,"TEXT_MANWIL302_00682_SEQ_02","在入隊儀式之前，接到了報告稱高風飛行社的飛空艇受到了帝國的砲擊。前往預測墜落地點地平，確認一下情況。"
3,"TEXT_MANWIL302_00682_SEQ_03","打倒了試圖接管墜落的飛空艇的帝國兵。乘坐在飛空艇上的，是加隆德煉鐵廠的技術員畢格斯和威吉。據畢格斯所說，加隆德煉鐵廠的會長似乎在第七靈災之後就下落不明瞭……向不滅隊作戰總部的不滅隊人事負責人報告。"
4,"TEXT_MANWIL302_00682_SEQ_04","<Highlight>ObjectParameter(1)</Highlight>在正式入黨前就完成了一項重要工作，不滅隊人事負責人對此給予了高度評價。營救出的技術人員也平安歸來了，事件看起來得以解決。與不滅隊人事負責人交談，舉行入隊儀式。"
5,"TEXT_MANWIL302_00682_SEQ_05",""
6,"TEXT_MANWIL302_00682_SEQ_06",""
7,"TEXT_MANWIL302_00682_SEQ_07",""
8,"TEXT_MANWIL302_00682_SEQ_08",""
9,"TEXT_MANWIL302_00682_SEQ_09",""
10,"TEXT_MANWIL302_00682_SEQ_10",""
11,"TEXT_MANWIL302_00682_SEQ_11",""
12,"TEXT_MANWIL302_00682_SEQ_12",""
13,"TEXT_MANWIL302_00682_SEQ_13",""
14,"TEXT_MANWIL302_00682_SEQ_14",""
15,"TEXT_MANWIL302_00682_SEQ_15",""
16,"TEXT_MANWIL302_00682_SEQ_16",""
17,"TEXT_MANWIL302_00682_SEQ_17",""
18,"TEXT_MANWIL302_00682_SEQ_18",""
19,"TEXT_MANWIL302_00682_SEQ_19",""
20,"TEXT_MANWIL302_00682_SEQ_20",""
21,"TEXT_MANWIL302_00682_SEQ_21",""
22,"TEXT_MANWIL302_00682_SEQ_22",""
23,"TEXT_MANWIL302_00682_SEQ_23",""
24,"TEXT_MANWIL302_00682_TODO_00","和烏爾達哈不滅隊作戰總部的不滅隊人事負責人對話"
25,"TEXT_MANWIL302_00682_TODO_01","去地平確認情況"
