key,0,1
#,,
int32,str,str
0,"TEXT_CLSFSH580_02088_SEQ_00","忘憂騎士亭的昂索姆似乎有什麼煩惱。"
1,"TEXT_CLSFSH580_02088_SEQ_01","有一位精靈族老人來拜訪昂索姆。精靈族老人是一名烹調師，他侍奉的領主代理人蠻橫地給他指派了不可能完成的任務。為了獲取領主代理人要求的<Sheet(Item,12793,0)/>，和利姆薩·羅敏薩漁師行會的希希蒲談談。"
2,"TEXT_CLSFSH580_02088_SEQ_02","和希希蒲進行了交談。在德拉瓦尼亞雲海之中可能還生息著<Sheet(Item,12793,0)/>。在德拉瓦尼亞雲海的莫古利之家收集情報。"
3,"TEXT_CLSFSH580_02088_SEQ_03","遇見了莫古特。莫古特告訴了冒險者莫古利族中有個名叫莫古克的特別喜歡釣魚。和莫古利之家北邊的莫古克談談。"
4,"TEXT_CLSFSH580_02088_SEQ_04","和莫古克進行了交談。釣上<Sheet(Item,12793,0)/>，將其拿給莫古克查看。可以在人王遺跡的釣場裡釣到<Sheet(Item,12793,0)/>。"
5,"TEXT_CLSFSH580_02088_SEQ_05","莫古克在看到<Sheet(Item,12793,0)/>之後十分滿足。莫古克將在依靠機械浮在空中的大陸上釣魚的方法——「魔泉釣魚」告訴了冒險者。將<Sheet(Item,12793,0)/>交給忘憂騎士亭的昂索姆。"
6,"TEXT_CLSFSH580_02088_SEQ_06","將<Sheet(Item,12793,0)/>交給了昂索姆。昂索姆提議用<Sheet(Item,12793,0)/>體內的毒素教訓一下領主代理人，同時他也坦白了自己的真實身份，他同樣也是領主的兒子。在送走精靈族老人後，從昂索姆那裡得到了可以在「魔泉釣魚」時使用的魚餌。可以在登上由機械築成的大陸後嘗試挑戰「魔泉釣魚」。

※漁師的等級達到60級以上時，可以從忘憂騎士亭的昂索姆那裡領取下一個漁師任務。"
7,"TEXT_CLSFSH580_02088_SEQ_07","空"
8,"TEXT_CLSFSH580_02088_SEQ_08","空"
9,"TEXT_CLSFSH580_02088_SEQ_09","空"
10,"TEXT_CLSFSH580_02088_SEQ_10","空"
11,"TEXT_CLSFSH580_02088_SEQ_11","空"
12,"TEXT_CLSFSH580_02088_SEQ_12","空"
13,"TEXT_CLSFSH580_02088_SEQ_13","空"
14,"TEXT_CLSFSH580_02088_SEQ_14","空"
