key,0,1
#,,
int32,str,str
0,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_001","你這傢伙真強啊！
要是對狩獵感興趣的話，
我們以後肯定會再見面！"
1,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_002","喲，來狩獵啦？
波爾·歐伽大哥已經認可了你，
想知道什麼儘管問，我全都告訴你！"
2,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_Q1_000_000","想了解什麼？"
3,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_001","關於B級怪物：會動的憤怒植物——瘋狂龍舌蘭"
4,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_002","關於B級怪物：吸血惡獸——卓伯卡布拉"
5,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_003","關於A級怪物：沒有智慧的智慧樹——內丘奇霍"
6,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_004","關於A級怪物：霸道的蜂王——女王鷹蜂"
7,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_005",""
8,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_006","取消"
9,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_010","那個，你知道巨龍舌蘭是什麼嗎？
那是一種和龍舌蘭差不多的會動的植物，但很有攻擊性。
它的葉子旁邊全是鋸齒，揮舞起來相當煩人。"
10,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_011","其中一些我們叫瘋狂龍舌蘭，只是因為特殊所以單獨起了個名。
普通的巨龍舌蘭滿打滿算也就活個幾十年，
一輩子就開一次花，開完就死了。"
11,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_012","這些傢伙倒好，開完花還活蹦亂跳的。
不僅命硬，脾氣也大，好多人都被它們襲擊過。
所以才被列進了討伐清單。"
12,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_020","你見過吸血怪嗎？
它們會吸其他生物的血，可嚇人了。
據說是從世界之外過來的，不好惹的。"
13,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_021","它們有個叫什麼……卓伯卡布拉的名字。
據說以前在圖拉爾也有吸血的怪物，這個名字最開始是起給它的。
凡是在船上工作的，沒人不知道這個傳言。"
14,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_022","結果最近真的有吸血怪物出現，
人們便想起了這個名字，安在了它的頭上。
在嚐過人類的味道後，它就跟瘋了一樣，必須儘快收拾掉它。"
15,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_030","內丘奇霍……
這讓人摸不著頭腦的名字在佩魯佩魯語中意為「智慧樹」。"
16,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_031","但它一看見人就拿自己那根樹枝子亂打一通，
有的牧童和旅商都被打死了。
我是看不出來它哪裡智慧。"
17,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_032","而且這樹砍死一棵後又會從別的地方長出來。
有人說是依附在樹上的惡靈，可以透過樹根把記憶轉移到別的樹上。
但不管有什麼說法，對我們來講就是出來一棵砍一棵！"
18,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_040","這片大陸上有種叫蛛鷹蜂的殺手蜂。
它們喜歡扎堆成群，每個群體都有一位女王。
當群體過於龐大時，就會再出現一位新的女王。"
19,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_041","新的女王會率領一半的成員離開，尋找新的家園。
我聽水手說，它們有些群體都飛到別的大陸去了。
而且繁殖能力好像也很強。"
20,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_042","所以，如果你看見了女王鷹蜂，一定要優先消滅它。
不過千萬要小心，
它會釋放一種能控制身邊所有生物的資訊素，包括人類。"
21,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_050",""
22,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_051",""
23,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_052",""
24,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_053",""
25,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_054",""
