key,0,1
#,,
int32,str,str
0,"TEXT_KINGMF109_04954_SEQ_00","勇武鬥技場附近的可露兒正努力平復動搖的心情。"
1,"TEXT_KINGMF109_04954_SEQ_01","和可露兒等人進行了交談。和憶想之地閃山雲噴泉的可露兒談談。"
2,"TEXT_KINGMF109_04954_SEQ_02","可露兒等人之間的氣氛十分尷尬。和閃山雲噴泉的古·拉哈·提亞談談。"
3,"TEXT_KINGMF109_04954_SEQ_03","為了解除可露兒等人之間的緊張氣氛，冒險者決定為他們尋找一些清涼的美食。在憶想之地地場節點·火附近收集情報。"
4,"TEXT_KINGMF109_04954_SEQ_04","從永久人們那裡得到了情報。和憶想之地熱井的烏克·拉瑪特談談。"
5,"TEXT_KINGMF109_04954_SEQ_05","冒險者決定為可露兒等人準備冰淇淋。和熱井的冰淇淋店的店員談談，獲取黃金之星冰淇淋。"
6,"TEXT_KINGMF109_04954_SEQ_06","獲得了黃金之星冰淇淋。將冰淇淋運送至閃山雲噴泉交給可露兒。

※搬運狀態只能維持一段時間。"
7,"TEXT_KINGMF109_04954_SEQ_07","成功將冰淇淋交給了可露兒。和地場節點·火附近的可露兒談談。"
8,"TEXT_KINGMF109_04954_SEQ_08","可露兒向冒險者等人表達了感謝。冒險者送來的冰淇淋與古·拉哈·提亞的斡旋，拉近了可露兒和父母之間的關係。"
9,"TEXT_KINGMF109_04954_SEQ_09",""
10,"TEXT_KINGMF109_04954_SEQ_10",""
11,"TEXT_KINGMF109_04954_SEQ_11",""
12,"TEXT_KINGMF109_04954_SEQ_12",""
13,"TEXT_KINGMF109_04954_SEQ_13",""
14,"TEXT_KINGMF109_04954_SEQ_14",""
15,"TEXT_KINGMF109_04954_SEQ_15",""
16,"TEXT_KINGMF109_04954_SEQ_16",""
17,"TEXT_KINGMF109_04954_SEQ_17",""
18,"TEXT_KINGMF109_04954_SEQ_18",""
19,"TEXT_KINGMF109_04954_SEQ_19",""
20,"TEXT_KINGMF109_04954_SEQ_20",""
21,"TEXT_KINGMF109_04954_SEQ_21",""
22,"TEXT_KINGMF109_04954_SEQ_22",""
23,"TEXT_KINGMF109_04954_SEQ_23",""
24,"TEXT_KINGMF109_04954_TODO_00","和可露兒對話"
25,"TEXT_KINGMF109_04954_TODO_01","和古·拉哈·提亞對話"
