key,0,1
#,,
int32,str,str
0,"TEXT_COMDEFFREECOMPANY_00076_FCSEAOFFICER_000_01","這裡是黑渦團的公會窗口。"
1,"TEXT_COMDEFFREECOMPANY_00076_FCFSTOFFICER_000_02","這裡是雙蛇黨的公會窗口。"
2,"TEXT_COMDEFFREECOMPANY_00076_FCWILOFFICER_000_03","這裡是不滅隊的公會窗口。"
3,"TEXT_COMDEFFREECOMPANY_00076_Q1_01","有什麼事？"
4,"TEXT_COMDEFFREECOMPANY_00076_A1_01","想要了解有關公會的事情"
5,"TEXT_COMDEFFREECOMPANY_00076_A1_02","想要解散公會"
6,"TEXT_COMDEFFREECOMPANY_00076_A1_03","想要轉隊"
7,"TEXT_COMDEFFREECOMPANY_00076_A1_04","想要提交公會組建書"
8,"TEXT_COMDEFFREECOMPANY_00076_A1_05","想要組建公會"
9,"TEXT_COMDEFFREECOMPANY_00076_A1_06","取消"
10,"TEXT_COMDEFFREECOMPANY_00076_A1_07","想要更改公會簡稱"
11,"TEXT_COMDEFFREECOMPANY_00076_A1_08","想要更改公會名稱"
12,"TEXT_COMDEFFREECOMPANY_00076_Q2_01","想了解什麼？"
13,"TEXT_COMDEFFREECOMPANY_00076_A2_01","什麼是公會"
14,"TEXT_COMDEFFREECOMPANY_00076_A2_02","如何組建公會"
15,"TEXT_COMDEFFREECOMPANY_00076_A2_03","如何管理公會成員"
16,"TEXT_COMDEFFREECOMPANY_00076_A2_04","關於公會的階級與許可權"
17,"TEXT_COMDEFFREECOMPANY_00076_A2_05","如何解散公會"
18,"TEXT_COMDEFFREECOMPANY_00076_A2_06","取消"
19,"TEXT_COMDEFFREECOMPANY_00076_A2_07","關於自動轉讓公會長"
20,"TEXT_COMDEFFREECOMPANY_00076_FCOFFICER_000_05","公會是冒險者之間組建的、類似傭兵團的組織。"
21,"TEXT_COMDEFFREECOMPANY_00076_FCOFFICER_000_06","但與一般傭兵團不同的是，
公會必須要與黑渦團、雙蛇黨或不滅隊
其中之一的大國防聯軍簽訂專屬契約。"
22,"TEXT_COMDEFFREECOMPANY_00076_FCOFFICER_000_07","這項制度是以5年前的第七靈災為契機制定的。
當時，參加艾奧傑亞城邦軍事同盟的大國防聯軍損傷慘重，
出現了大批的戰死者和失蹤者。"
