key,0,1
#,,
int32,str,str
0,"TEXT_JOBMCH400_01699_SEQ_00","天鋼機工坊的斯特凡尼維安有事想告訴冒險者。"
1,"TEXT_JOBMCH400_01699_SEQ_01","機工士們將會參加天火堡壘群防衛斯瓦拉的戰鬥。和天鋼機工坊的斯特凡尼維安談談。"
2,"TEXT_JOBMCH400_01699_SEQ_02","斯特凡尼維安將車型浮游砲塔交給了冒險者。使用它保護天火堡壘群。"
3,"TEXT_JOBMCH400_01699_SEQ_03","空"
4,"TEXT_JOBMCH400_01699_SEQ_04","空"
5,"TEXT_JOBMCH400_01699_SEQ_05","空"
6,"TEXT_JOBMCH400_01699_SEQ_06","空"
7,"TEXT_JOBMCH400_01699_SEQ_07","空"
8,"TEXT_JOBMCH400_01699_SEQ_08","空"
9,"TEXT_JOBMCH400_01699_SEQ_09","空"
10,"TEXT_JOBMCH400_01699_SEQ_10","空"
11,"TEXT_JOBMCH400_01699_SEQ_11","空"
12,"TEXT_JOBMCH400_01699_SEQ_12","空"
13,"TEXT_JOBMCH400_01699_SEQ_13","空"
14,"TEXT_JOBMCH400_01699_SEQ_14","空"
15,"TEXT_JOBMCH400_01699_SEQ_15","空"
16,"TEXT_JOBMCH400_01699_SEQ_16","空"
17,"TEXT_JOBMCH400_01699_SEQ_17","空"
18,"TEXT_JOBMCH400_01699_SEQ_18","空"
19,"TEXT_JOBMCH400_01699_SEQ_19","空"
20,"TEXT_JOBMCH400_01699_SEQ_20","空"
21,"TEXT_JOBMCH400_01699_SEQ_21","空"
22,"TEXT_JOBMCH400_01699_SEQ_22","空"
23,"TEXT_JOBMCH400_01699_SEQ_23","空"
24,"TEXT_JOBMCH400_01699_TODO_00","和斯特凡尼維安對話"
25,"TEXT_JOBMCH400_01699_TODO_01","空"
26,"TEXT_JOBMCH400_01699_TODO_02","空"
27,"TEXT_JOBMCH400_01699_TODO_03","空"
28,"TEXT_JOBMCH400_01699_TODO_04","空"
29,"TEXT_JOBMCH400_01699_TODO_05","空"
30,"TEXT_JOBMCH400_01699_TODO_06","空"
31,"TEXT_JOBMCH400_01699_TODO_07","空"
32,"TEXT_JOBMCH400_01699_TODO_08","空"
33,"TEXT_JOBMCH400_01699_TODO_09","空"
34,"TEXT_JOBMCH400_01699_TODO_10","空"
