key,0,1
#,,
int32,str,str
0,"TEXT_CLSBSM201_00296_SEQ_00","鍛造師行會的布瑞賽爾，想要委託冒險者製作工具。"
1,"TEXT_CLSBSM201_00296_SEQ_01","接到了布瑞賽爾的委託，製作1把鑲有魔晶石的<Sheet(Item,2344,0)/>。因為行會商店的斯密德海穆爾那裡沒有製作錘子的材料，接下來需要靠自己去採集，或者去西國際商店街的市場佈告板找找看。中薩納蘭狼煙丘的工匠們會說明鑲嵌魔晶石的詳細步驟。製作完成後，交給布瑞賽爾。"
2,"TEXT_CLSBSM201_00296_SEQ_02","將鑲有魔晶石的<Sheet(Item,2344,0)/>交給了布瑞賽爾。他讚揚了冒險者，表示連身為鍛造師的他都想使用冒險者製作的錘子。作為一名鍛造師繼續努力修行，不要讓他失望。

※鍛造師的等級達到25級以上時，可以從布瑞賽爾那裡領取下一個鍛造師任務。"
3,"TEXT_CLSBSM201_00296_SEQ_03",""
4,"TEXT_CLSBSM201_00296_SEQ_04",""
5,"TEXT_CLSBSM201_00296_SEQ_05",""
6,"TEXT_CLSBSM201_00296_SEQ_06",""
7,"TEXT_CLSBSM201_00296_SEQ_07",""
8,"TEXT_CLSBSM201_00296_SEQ_08",""
9,"TEXT_CLSBSM201_00296_SEQ_09",""
10,"TEXT_CLSBSM201_00296_SEQ_10",""
11,"TEXT_CLSBSM201_00296_SEQ_11",""
12,"TEXT_CLSBSM201_00296_SEQ_12",""
13,"TEXT_CLSBSM201_00296_SEQ_13",""
14,"TEXT_CLSBSM201_00296_SEQ_14",""
15,"TEXT_CLSBSM201_00296_SEQ_15",""
16,"TEXT_CLSBSM201_00296_SEQ_16",""
17,"TEXT_CLSBSM201_00296_SEQ_17",""
18,"TEXT_CLSBSM201_00296_SEQ_18",""
19,"TEXT_CLSBSM201_00296_SEQ_19",""
20,"TEXT_CLSBSM201_00296_SEQ_20",""
21,"TEXT_CLSBSM201_00296_SEQ_21",""
22,"TEXT_CLSBSM201_00296_SEQ_22",""
23,"TEXT_CLSBSM201_00296_SEQ_23",""
24,"TEXT_CLSBSM201_00296_TODO_00","將鑲有魔晶石的<Sheet(Item,2344,0)/>交給布瑞賽爾"
25,"TEXT_CLSBSM201_00296_TODO_01",""
26,"TEXT_CLSBSM201_00296_TODO_02",""
