key,0,1
#,,
int32,str,str
0,"TEXT_FESYKW001_02141_SEQ_00","※本任務是特定期間內的任務。

烏爾達哈的手頭拮据的年輕人想和冒險者聊一聊。"
1,"TEXT_FESYKW001_02141_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參閱官方網站。

從手頭拮据的年輕人那裡聽說了神秘訓寵師的事情。想知道他的秘密的話，就去金碟遊樂園和來自異國的總裁談談。"
2,"TEXT_FESYKW001_02141_SEQ_02","和來自異國的總裁進行了交談，他似乎是和朋友一起來艾奧傑亞旅行的，但卻和朋友在黑衣森林走散了。他的朋友是一個又白又圓、輕飄飄地浮在空中的愛對話的傢伙。前往中央林區的彎枝牧場收集目擊情報。"
3,"TEXT_FESYKW001_02141_SEQ_03","四處打聽了一下之後，收集到了好幾條情報。角尊奧·阿帕·佩西似乎和一個白色的怪物戰鬥了。調查位於中央林區長老樹的<Sheet(EObj,2007170,0)/>。"
4,"TEXT_FESYKW001_02141_SEQ_04","從古代石壺中出現了一個自稱為「威斯帕」的妖怪，並送給冒險者一份謝禮。但是冒險者收下的這個叫做<Sheet(EventItem,2001948,0)/>的東西似乎發生故障。回到金碟遊樂園，向來自異國的總裁報告事情進展，並將<Sheet(EventItem,2001948,0)/>交給他修理。"
5,"TEXT_FESYKW001_02141_SEQ_05","來自異國的總裁和威斯帕平安重逢，並且幫冒險者修好了妖怪手錶。據他所說，在滿足特定條件的狀態下，在各地解決事件或者問題的話，就能獲得妖怪徽章或者妖怪傳奇徽章。將這些道具收集起來的話，就可以在他那裡兌換能成為朋友的妖怪或者他的公司獨家設計的武器。請積極進行收集。
「妖怪徽章」可以在裝備妖怪手錶後，透過參加各地的F.A.T.E.事件做出貢獻後獲得。可以獲得的地區有：中拉諾西亞、拉諾西亞低地、西拉諾西亞、拉諾西亞高地、拉諾西亞外地；黑衣森林中央林區、東部林區、南部林區、北部林區；西薩納蘭、中薩納蘭、東薩納蘭、南薩納蘭；庫爾札斯西部高地、阿巴拉提亞雲海、德拉瓦尼亞山麓地、德拉瓦尼亞雲海、德拉瓦尼亞河谷地、魔大陸阿濟茲拉；基拉巴尼亞邊區、基拉巴尼亞山區、基拉巴尼亞湖區；紅玉海、延夏、太陽神草原，總計25個地區。「妖怪傳奇徽章」可以在召喚出特定妖怪寵物的狀態下，透過完成記載在「妖怪大辭典」中的地區的F.A.T.E.事件做出貢獻後偶爾獲得。"
6,"TEXT_FESYKW001_02141_SEQ_06",""
7,"TEXT_FESYKW001_02141_SEQ_07",""
