key,0,1
#,,
int32,str,str
0,"TEXT_JOBAOZ500_03198_SEQ_00","烏爾達哈的淚男子拉圖加在等待冒險者。"
1,"TEXT_JOBAOZ500_03198_SEQ_01","和淚男子拉圖加進行了交談，從馬丁那裡聽說瓦拉其族的傳染病已經得到了控制。就在此時，瓦拉其族的少年希達跑了過來，據他說瓦斯特拉哈奪走了部落的聖地。還在療養中的馬丁聽聞此事，怒不可遏地飛奔了出去。在北薩納蘭的青磷精煉所尋找馬丁。"
2,"TEXT_JOBAOZ500_03198_SEQ_02","找到了馬丁。以青磷水為目的奪走了瓦拉其族土地的瓦斯特拉哈與想要守護瓦拉其族文化的馬丁針鋒相對。此時蘿伊絲出現，對立的雙方決定在鬥技場透過青魔道士之間的較量來決定輸贏。冒險者將代替療養中的馬丁參加對戰。和密爾瓦內斯禮拜堂附近的蘿伊絲談談。"
3,"TEXT_JOBAOZ500_03198_SEQ_03","和蘿伊絲進行了交談，冒險者試穿了第二代藍色假面的衣裝。而瓦斯特拉哈準備用啟示者裝束進行戰鬥。和密爾瓦內斯禮拜堂附近的蘿伊絲談談。"
4,"TEXT_JOBAOZ500_03198_SEQ_04","和蘿伊絲進行了交談。冒險者完成了青魔道士的修行，順利地成為了假面狂歡的鬥士。為了打倒啟示者奪回瓦拉其族的聖地，開始挑戰假面狂歡吧！

※完成假面狂歡的第25關後，可以從密爾瓦內斯禮拜堂附近的淚男子拉圖加那裡領取下一個青魔道士任務。"
5,"TEXT_JOBAOZ500_03198_SEQ_05",""
6,"TEXT_JOBAOZ500_03198_SEQ_06",""
7,"TEXT_JOBAOZ500_03198_SEQ_07",""
8,"TEXT_JOBAOZ500_03198_SEQ_08",""
9,"TEXT_JOBAOZ500_03198_SEQ_09",""
10,"TEXT_JOBAOZ500_03198_SEQ_10",""
11,"TEXT_JOBAOZ500_03198_SEQ_11",""
12,"TEXT_JOBAOZ500_03198_SEQ_12",""
13,"TEXT_JOBAOZ500_03198_SEQ_13",""
14,"TEXT_JOBAOZ500_03198_SEQ_14",""
15,"TEXT_JOBAOZ500_03198_SEQ_15",""
16,"TEXT_JOBAOZ500_03198_SEQ_16",""
17,"TEXT_JOBAOZ500_03198_SEQ_17",""
18,"TEXT_JOBAOZ500_03198_SEQ_18",""
