key,0,1
#,,
int32,str,str
0,"TEXT_SUBPST023_00243_SEQ_00","郵差莫古利前輩有封找不到收信人的信要交給冒險者。"
1,"TEXT_SUBPST023_00243_SEQ_01","接受了郵差莫古利前輩的委託，前去將無人接收的信還給送信人。前往利姆薩·羅敏薩的八分儀廣場，將<Sheet(EventItem,2001506,0)/>交給班戈·贊戈。"
2,"TEXT_SUBPST023_00243_SEQ_02","將信還給了班戈·贊戈。班戈·贊戈委託冒險者去抓住因欠了布魯蓋爾商會債而跑路的吉吉盧恩。前往拉諾西亞高地的梅梅盧恩交易商店，向吉吉盧恩的弟弟梅梅盧恩打聽吉吉盧恩的去向。"
3,"TEXT_SUBPST023_00243_SEQ_03","和梅梅盧恩進行了交談，無法得知吉吉盧恩的去向。梅梅盧恩決定幫忙一起尋找吉吉盧恩。前往拉諾西亞高地的吉吉盧恩交易商店，尋找有關吉吉盧恩去向的線索。"
4,"TEXT_SUBPST023_00243_SEQ_04","在吉吉盧恩交易商店碰到了討債人，據他所說吉吉盧恩交易商店裡留有數枚輝鱗幣。吉吉盧恩很有可能與用這種貨幣的輝鱗人進行了交易。在拉諾西亞高地的石綠湖附近尋找吉吉盧恩。"
5,"TEXT_SUBPST023_00243_SEQ_05","發現了吉吉盧恩，因為被輝鱗人的傭兵阻礙，使得吉吉盧恩逃走了。前往拉諾西亞高地的澤爾瑪溪谷尋找吉吉盧恩。"
6,"TEXT_SUBPST023_00243_SEQ_06","和吉吉盧恩僱傭的輝鱗人傭兵隊長進行了交談。吉吉盧恩好像被海盜出身的討債人帶走了。前往梅梅盧恩交易商店，將情況告訴梅梅盧恩。"
7,"TEXT_SUBPST023_00243_SEQ_07","將情況告訴了梅梅盧恩。據說將吉吉盧恩帶走的討債人，會把欠債人裝進木桶中將其沉入水裡。前往吉吉盧恩交易商店，尋找海盜出身的討債人。"
8,"TEXT_SUBPST023_00243_SEQ_08","找到了海盜出身的討債人。因弟弟梅梅盧恩還清了債務，吉吉盧恩免於一死，被從桶中放了出來。透過這件事，兄弟倆解除了多年在經商方針上的誤解，兩人的感情更加深厚了。相信吉吉盧恩和梅梅盧恩會繼續相互競爭，使得相互的經營規模更加壯大。"
9,"TEXT_SUBPST023_00243_SEQ_09",""
10,"TEXT_SUBPST023_00243_SEQ_10",""
