key,0,1
#,,
int32,str,str
0,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_TALK_ACTOR","0"
1,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_000","要做什麼？"
2,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q1_000_001","建造設施"
3,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q1_000_010","取消"
4,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_100","開拓工坊 I"
5,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_101","開拓工坊 II"
6,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_102","開拓工坊 III"
7,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_103","開拓工坊 IV"
8,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_104","開拓工坊 V"
9,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_110","屯貨倉庫 I"
10,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_111","屯貨倉庫 II"
11,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_112","屯貨倉庫 III"
12,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_113","屯貨倉庫 IV"
13,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_114","屯貨倉庫 V"
14,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_120","這裡是<Highlight>StringParameter(1)</Highlight>。
要做什麼？"
15,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_121","改建<Highlight>StringParameter(1)</Highlight>"
16,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_122","變更<Highlight>StringParameter(1)</Highlight>的外觀"
17,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_123","搬遷<Highlight>StringParameter(1)</Highlight>"
18,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_124","取消"
19,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_200","管理土地用的看板。"
20,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_300","開始建造後，需要花費一段時間等待建築物建造完成。
使用管理板即可查詢對應建築的完成時間。
請一邊遊玩其他的遊戲內容，一邊耐心等待建築建成吧！"
21,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_305","開始改建後，需要花費一段時間等待建築物改建完成。
使用管理板即可查詢對應建築的完成時間。
請一邊遊玩其他的遊戲內容，一邊耐心等待建築建成吧！"
22,"TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_100_000","屯貨倉庫建造完畢。
可以委託小島木屋附近的採集小員收集開拓素材了。"
