key,0,1
#,,
int32,str,str
0,"TEXT_MANFST309_00516_SEQ_00","砂之家的敏菲利亞想要和大家說些什麼。"
1,"TEXT_MANFST309_00516_SEQ_01","黑渦團似乎發來了討伐泰坦的委託。為了了解委託的詳情，和利姆薩·羅敏薩黑渦軍司令部的爾·阿夏對話。"
2,"TEXT_MANFST309_00516_SEQ_02","在位於拉諾西亞低地北部的灰艦風車群，有一名擁有討伐泰坦經驗的原海雄旅團團員。在那裡找到這名原海雄旅團團員的話，就和他談談。"
3,"TEXT_MANFST309_00516_SEQ_03","和原海雄旅團團員特拉哈圖姆進行了交談。他似乎是海雄旅團裡最有實力的人。"
4,"TEXT_MANFST309_00516_SEQ_04","空"
5,"TEXT_MANFST309_00516_SEQ_05","空"
6,"TEXT_MANFST309_00516_SEQ_06","空"
7,"TEXT_MANFST309_00516_SEQ_07","空"
8,"TEXT_MANFST309_00516_SEQ_08","空"
9,"TEXT_MANFST309_00516_SEQ_09","空"
10,"TEXT_MANFST309_00516_SEQ_10","空"
11,"TEXT_MANFST309_00516_SEQ_11","空"
12,"TEXT_MANFST309_00516_SEQ_12","空"
13,"TEXT_MANFST309_00516_SEQ_13","空"
14,"TEXT_MANFST309_00516_SEQ_14","空"
15,"TEXT_MANFST309_00516_SEQ_15","空"
16,"TEXT_MANFST309_00516_SEQ_16","空"
17,"TEXT_MANFST309_00516_SEQ_17","空"
18,"TEXT_MANFST309_00516_SEQ_18","空"
19,"TEXT_MANFST309_00516_SEQ_19","空"
20,"TEXT_MANFST309_00516_SEQ_20","空"
21,"TEXT_MANFST309_00516_SEQ_21","空"
22,"TEXT_MANFST309_00516_SEQ_22","空"
23,"TEXT_MANFST309_00516_SEQ_23","空"
24,"TEXT_MANFST309_00516_TODO_00","和黑渦軍司令部的爾·阿夏對話"
25,"TEXT_MANFST309_00516_TODO_01","和灰艦風車群的原海雄旅團團員對話"
26,"TEXT_MANFST309_00516_TODO_02","空"
27,"TEXT_MANFST309_00516_TODO_03","空"
28,"TEXT_MANFST309_00516_TODO_04","空"
29,"TEXT_MANFST309_00516_TODO_05","空"
30,"TEXT_MANFST309_00516_TODO_06","空"
31,"TEXT_MANFST309_00516_TODO_07","空"
32,"TEXT_MANFST309_00516_TODO_08","空"
