key,0,1
#,,
int32,str,str
0,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_001","武器、食物、藥品、衣服……
要籌備的東西數都數不清。"
1,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_100_001","喲，<Highlight>ObjectParameter(1)</Highlight>，我正在整理從憶想之地中收集到的情報，
等你忙完手頭的事情後，隨時回來找我，
我會和你分享這些發現。"
2,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_002","忘斷軍的幾位成員仍在憶想之地中進行調查。
如果你需要，我可以和你分享一些重要發現。"
3,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_Q1_000_000","想了解什麼？"
4,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_001","關於B級怪物：寶石小偷——攜寶精"
5,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_002","關於B級怪物：披身匿蹤——第十三個孩子"
6,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_003","關於A級怪物：有潔癖的人偶——清掃者薩莉"
7,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_004","關於A級怪物：深淵裂瞳——貓眼"
8,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_005","關於S級怪物：天氣預言家——天氣預報機器人"
9,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_006",""
10,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_007","取消"
11,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_010","我們忘斷軍是透過遠端操控機器兵來調查憶想之地的。
這比親自前往那裡要安全得多，但也並不是毫無缺點。"
12,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_011","駭入機器兵需要投入大量時間和精力，
機器兵本身也很顯眼。好多魔物都喜歡跟在後面動手動腳。
其中最過分的當屬攜寶精。"
