key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_000","想了解什麼？"
1,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_005","關於近況"
2,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_010","什麼是英魂裝備？"
3,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_015","關於領取英魂裝備"
4,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_020","取消"
5,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_100","你給我看過那個水晶之後，讓我的製作意欲高漲。"
6,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_101","果然偶爾去吸吸外面的空氣還是很重要的。
雖然我也很喜歡這個海底的工坊，
可是卻容易沉浸在自己的世界裡……"
7,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_102","還是抽空想想在別處找間工坊吧。
畢竟不停地完成委託倒是攢了不少的錢。"
8,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_110","在這海底呆久了，人會感到孤獨、想要和人溝通，
於是我就給好久未聯繫的工匠朋友寫了信。"
9,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_111","雖然現在隱居於此，但從前我也在中庸工藝館和工匠們相互切磋，
努力想打造出「至高」的水壺……"
10,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_112","今後要是能攢錢建立新的工坊，
投身於培養下一代工匠的事業中就好了。"
11,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_120","我最近這段時間，
一直往返在水晶都和這個「工作室」之間。
要說平常工作的話，果然還是用習慣了的工坊這邊比較方便。"
12,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_121","不過，難得回到地面上一次，可真是新鮮又刺激啊。
以製作全新的工具為目標，和年輕的喬菈·佐一起工作。
這一次的經歷，應該也能成為我的靈感源泉吧。"
13,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_122","而、而且，在水晶都多待一陣子的話，
還會碰到偶爾來拜訪的莫雯閣下……
不！沒！沒！我什麼都沒說！"
14,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_130","你說，這間工作室距離莫雯閣下所在的地面，
究竟有多遙遠呢……
在我的眼中，海面之上似乎變得更加絢麗奪目了。"
15,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_131","但是，即使我們成了夫婦，我們會做的也仍是懷揣著對對方的敬佩，
繼續努力工作，繼續向著工匠與商人之路的頂峰邁進。
每當我看向這個水壺，心中就會再次想起她的愛和更進一步的決心。"
16,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_132","我聽說喬菈·佐就是看到了我做的水壺才決定成為工匠的吧。
因此，這水壺同時也是我踏實工作的證明，是我的起點……
希望它今後能和莫雯卓越工具一樣遍佈諾弗蘭特各地。"
17,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_300","你拿到的像是空殼一樣的水晶……
看到那個的時候我突然想到了激烈、
華美而又充滿了哀愁的英雄的人生。"
18,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_301","我打造了配得上英雄的裝備，並命名為英魂裝備。
如果我腦中再次有靈感閃過的話，
就能再次增加這套裝備的種類吧。"
19,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_302","完成80級職能任務後，
將開啟該職能對應的「領取英魂裝備」選項。"
20,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_400","英魂裝備是以歷戰的英雄為參考製作的裝備……
若想發揮出其真正的效能，需要有相對應的力量。"
21,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_401","你的實力如果配得上英魂裝備，
我蓋雷諾爾特哪怕是不收錢，
也會主動為你打造吧。"
22,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_402","「領取英魂裝備」選項中，
可以領取對應職能內到達了80級的職業的「英魂裝備」。"
23,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_403","如果不小心失去了裝備的話，
可以透過「領取英魂裝備」重新獲得。"
