key,0,1
#,,
int32,str,str
0,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_1","哎呀，歡迎你的到來。
巴術在梅爾凡海關的業務環節裡可是不可或缺的一部分，
如果你有什麼不懂的可以儘管來問我。"
1,"TEXT_REGSEAACNGUILD_00089_Q1_000_1","想了解什麼？"
2,"TEXT_REGSEAACNGUILD_00089_A1_000_1","你是做什麼的？"
3,"TEXT_REGSEAACNGUILD_00089_A1_000_2","什麼是「巴術」？"
4,"TEXT_REGSEAACNGUILD_00089_A1_000_3","取消"
5,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_2","我叫圖比爾蓋姆，
現在代替為鑽研巴術而銷聲匿跡的行會會長管理行會內的事務。"
6,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_3","我們行會會長會定期寄來有關巴術的研究報告。
那些報告的內容十分驚人，所以對會長也生不起氣來。"
7,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_5","巴術起源於南洋群島，
是以算術學為基礎發展起來的魔法體系。"
8,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_6","用算術這種理論性的手段解釋代表生命奧秘的魔法，
這也是巴術誕生的開始。"
9,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_7","巴術的特徵之一，就是使用將魔法陣昇華後的「魔紋」。
因為最初將演算出的魔紋稱作「巴紋」，
所以這種魔法體系就被稱為是「巴術」了。"
10,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_8","而且，在解釋生命奧秘的過程中，
孕育出了魔法生命體「卡邦庫爾」……
這就是最具邏輯性的魔法體系——巴術。"
11,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_010","呀，你來啦。
現在巴術修練得還順利嗎？"
12,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_020","呀，你來啦。
看來你作為一名召喚士，也進步不少了啊。
你那顆無止境的上進心，是行會會員們的榜樣。"
13,"TEXT_REGSEAACNGUILD_00089_THUBYRGEIM_000_030","呀，你來啦。
看來你作為一名學者，也進步不少了啊。
你那顆無止境的上進心，是行會會員們的榜樣。"
