key,0,1
#,,
int32,str,str
0,"TEXT_JOBPLD520_02033_SEQ_00","烏爾達哈調車庫的帕帕夏恩好像找到了索爾克扎吉爾的線索。"
1,"TEXT_JOBPLD520_02033_SEQ_01","據帕帕夏恩所說，索爾克扎吉爾最後一次被目擊的地方是隼巢。前往庫爾札斯西部高地的隼巢，向那裡的居民打聽一下情報。"
2,"TEXT_JOBPLD520_02033_SEQ_02","向居民們打聽了情報。有必要收集更多的情報。和隼巢的漢德雷特·艾斯談談。"
3,"TEXT_JOBPLD520_02033_SEQ_03","向漢德雷特·艾斯詢問了索爾克扎吉爾的情報。據說索爾克扎吉爾遭土匪殺害，且已經被埋葬了。前往庫爾札斯西部高地的交會河營地，在附近尋找索爾克扎吉爾之墓。"
4,"TEXT_JOBPLD520_02033_SEQ_04","在交會河尋找墳墓的時候，救助了一名被暗殺組織「隱形毒尾」襲擊的少年。據少年所說，索爾克扎吉爾是被隱形毒尾殺害的。為了獲取更多情報，和隼巢的康斯坦談談。"
5,"TEXT_JOBPLD520_02033_SEQ_05","名為康斯坦的這位少年，是索爾克扎吉爾的弟子，也就是冒險者的師弟。他繼承了師父的意志，想要尋找聖劍。與康斯坦一起尋找聖劍。

※騎士的等級達到54級以上時，可以從隼巢的康斯坦那裡領取下一個騎士任務。"
6,"TEXT_JOBPLD520_02033_SEQ_06","空欄"
7,"TEXT_JOBPLD520_02033_SEQ_07","空欄"
8,"TEXT_JOBPLD520_02033_SEQ_08","空欄"
9,"TEXT_JOBPLD520_02033_SEQ_09","空欄"
10,"TEXT_JOBPLD520_02033_SEQ_10","空欄"
11,"TEXT_JOBPLD520_02033_SEQ_11","空欄"
12,"TEXT_JOBPLD520_02033_SEQ_12","空欄"
13,"TEXT_JOBPLD520_02033_SEQ_13","空欄"
14,"TEXT_JOBPLD520_02033_SEQ_14","空欄"
15,"TEXT_JOBPLD520_02033_SEQ_15","空欄"
16,"TEXT_JOBPLD520_02033_SEQ_16","空欄"
17,"TEXT_JOBPLD520_02033_SEQ_17","空欄"
18,"TEXT_JOBPLD520_02033_SEQ_18","空欄"
19,"TEXT_JOBPLD520_02033_SEQ_19","空欄"
20,"TEXT_JOBPLD520_02033_SEQ_20","空欄"
21,"TEXT_JOBPLD520_02033_SEQ_21","空欄"
