key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFTOMESTONECONVERT_00391_WHICH_Q","要做什麼？"
1,"TEXT_CMNDEFTOMESTONECONVERT_00391_WHICH_CANCEL","取消"
2,"TEXT_CMNDEFTOMESTONECONVERT_00391_HELP","<Sheet(Item,IntegerParameter(1),0)/>？
羅薇娜說那石頭賣不出去，所以停止交易了。
……因為收藏家總是會立刻找到下一個「獵物」。"
3,"TEXT_CMNDEFTOMESTONECONVERT_00391_TALK_NOT_HAVE","如果你需要的話，我可以用<Sheet(Item,IntegerParameter(2),0)/>和你交換……
不過前提是你如果有<Sheet(Item,IntegerParameter(1),0)/>的話。"
4,"TEXT_CMNDEFTOMESTONECONVERT_00391_TALK_Q","如果你需要的話，
我可以用<Sheet(Item,IntegerParameter(3),0)/>換你的<Sheet(Item,IntegerParameter(1),0)/>。
我至少能賺點零用錢。"
5,"TEXT_CMNDEFTOMESTONECONVERT_00391_EXCHANGE_Q","要用「<Sheet(Item,IntegerParameter(1),0)/>」×<Value>IntegerParameter(2)</Value>
換取「<Sheet(Item,IntegerParameter(3),0)/>」×<Value>IntegerParameter(4)</Value>嗎？"
6,"TEXT_CMNDEFTOMESTONECONVERT_00391_EXCHANGE_YES","交換"
7,"TEXT_CMNDEFTOMESTONECONVERT_00391_EXCHANGE_NO","取消"
8,"TEXT_CMNDEFTOMESTONECONVERT_00391_TALK_NOT_GET","你根本拿不了這麼多<Sheet(Item,IntegerParameter(1),0)/>啊。"
9,"TEXT_CMNDEFTOMESTONECONVERT_00391_OVERMAX_Q","確定要交換嗎？
你的<Sheet(Item,IntegerParameter(1),0)/>會超出持有上限，
超出的部分會被浪費。"
