key,0,1
#,,
int32,str,str
0,"TEXT_REGWILGLAGUILD_00063_MYLLA_000","嗯，來我們行會有何貴幹？
你想詢問有關劍術的事情嗎？"
1,"TEXT_REGWILGLAGUILD_00063_Q1_000_1","想了解什麼？"
2,"TEXT_REGWILGLAGUILD_00063_A1_000_1","你是做什麼的？"
3,"TEXT_REGWILGLAGUILD_00063_A1_000_2","什麼是「劍術」？"
4,"TEXT_REGWILGLAGUILD_00063_A1_000_3","取消"
5,"TEXT_REGWILGLAGUILD_00063_MYLLA_010","我叫密拉，
是劍術士行會的會長。
不要因為我是女人就敢小看我。"
6,"TEXT_REGWILGLAGUILD_00063_MYLLA_011","我可以溫柔地告訴你，
我這個會長是以怎樣的實力，來統率這群狂暴的劍術士們的。
……當然是用劍來告訴你。"
7,"TEXT_REGWILGLAGUILD_00063_MYLLA_012","哼哼……開玩笑的。
好了，你可以慢慢地參觀學習下。
不過小心不要隨便出手，免得受傷。"
8,"TEXT_REGWILGLAGUILD_00063_MYLLA_020","「劍術」即用劍作為武器的戰鬥本領。
在艾奧傑亞，劍是最普通的武器。"
9,"TEXT_REGWILGLAGUILD_00063_MYLLA_021","正因如此，那些一心想要在戰鬥道路上走下去的人，
都會想要嘗試一下用劍。
為了讓無法實現的夢想成為現實……"
10,"TEXT_REGWILGLAGUILD_00063_MYLLA_022","劍術士行會就是為了實現那些夢想而存在的。
這裡原本也是那些在鬥技場上戰鬥的「劍鬥士」的行會，
許多冠軍都是從這裡走出的。"
11,"TEXT_REGWILGLAGUILD_00063_MYLLA_023","劍鬥士所追求的，
是讓觀眾們狂熱的勇猛劍術，
以及華麗的勝利！"
12,"TEXT_REGWILGLAGUILD_00063_MYLLA_024","為此，劍術作為「魅惑之劍」，
自古以來就在烏爾達哈十分盛行。"
13,"TEXT_REGWILGLAGUILD_00063_MYLLA_025","以裝備的盾牌躲避敵人的攻擊，
在抵擋住對方的攻擊後，
再以起死回生的必殺技來扭轉局勢！"
14,"TEXT_REGWILGLAGUILD_00063_MYLLA_026","怎麼樣？是不是覺得十分美妙？
勇猛且華麗……這就是劍術。
而能夠具備這兩點的人，才算是最強的劍術士。"
