key,0,1
#,,
int32,str,str
0,"TEXT_KINGRA102_04961_SEQ_00","阿卡狄亞協會的休息室的梅特莫正在等待冒險者做好心理準備。"
1,"TEXT_KINGRA102_04961_SEQ_01","梅特莫為冒險者介紹了初賽的對戰選手。挑戰磨爪貓魂——黑貓。

※可以透過任務搜尋器參加。"
2,"TEXT_KINGRA102_04961_SEQ_02","戰勝了黑貓。返回阿卡狄亞協會的休息室的梅特莫身邊。
若是離開阿卡狄亞協會的休息室，可以與阿卡狄亞協會前的工作人員對話再次前往。"
3,"TEXT_KINGRA102_04961_SEQ_03","梅特莫祝賀冒險者取得勝利，並進一步說明了阿卡狄亞的事項。與梅特莫談話途中，對冒險者產生了興趣的黑貓突然現身並表示要跟隨觀察冒險者。和阿卡狄亞協會的休息室的梅特莫談談。"
4,"TEXT_KINGRA102_04961_SEQ_04","做好下一場比賽的準備，就再次和梅特莫交談。"
5,"TEXT_KINGRA102_04961_SEQ_05",""
6,"TEXT_KINGRA102_04961_SEQ_06",""
7,"TEXT_KINGRA102_04961_SEQ_07",""
8,"TEXT_KINGRA102_04961_SEQ_08",""
9,"TEXT_KINGRA102_04961_SEQ_09",""
10,"TEXT_KINGRA102_04961_SEQ_10",""
11,"TEXT_KINGRA102_04961_SEQ_11",""
12,"TEXT_KINGRA102_04961_SEQ_12",""
13,"TEXT_KINGRA102_04961_SEQ_13",""
14,"TEXT_KINGRA102_04961_SEQ_14",""
15,"TEXT_KINGRA102_04961_SEQ_15",""
16,"TEXT_KINGRA102_04961_SEQ_16",""
17,"TEXT_KINGRA102_04961_SEQ_17",""
18,"TEXT_KINGRA102_04961_SEQ_18",""
19,"TEXT_KINGRA102_04961_SEQ_19",""
20,"TEXT_KINGRA102_04961_SEQ_20",""
21,"TEXT_KINGRA102_04961_SEQ_21",""
22,"TEXT_KINGRA102_04961_SEQ_22",""
23,"TEXT_KINGRA102_04961_SEQ_23",""
24,"TEXT_KINGRA102_04961_TODO_00","突破阿卡狄亞登天鬥技場輕量級1"
25,"TEXT_KINGRA102_04961_TODO_01","突破阿卡狄亞登天鬥技場輕量級1"
26,"TEXT_KINGRA102_04961_TODO_02","和梅特莫對話"
27,"TEXT_KINGRA102_04961_TODO_03",""
28,"TEXT_KINGRA102_04961_TODO_04",""
